,ARI,,Average ARI for init=Random,Average ARI for init=Vector,Average ARI for init=Mini-em,Average ARI for init=Kmeans
65_mini-em_AKBKQKDK_0.05,0.547457328,,,,,
65_kmeans_AKJBKQKDK_0.2,0.996995489,,,,,
66_random_AKJBKQKDK_0.2,0.903085161,,,,,
66_vector_ABKQKDK_0.1,0.564005805,,,,,
66_mini-em_AKBKQKDK_0.1,0.547420706,,,,,
66_kmeans_AKJBKQKDK_0.2,1,,,,,
67_random_AKBKQKDK_0.05,0.566323969,,,,,
67_vector_ABKQKDK_0.05,0.565013978,,,,,
67_mini-em_AKBKQKDK_0.05,0.566084081,,,,,
67_kmeans_AKBKQKDK_0.2,1,,,,,
68_random_AKBKQKDK_0.2,0.897730633,,,,,
68_vector_ABKQKDK_0.2,0.567942398,,,,,
68_mini-em_AKBKQKDK_0.2,0.543993894,,,,,
68_kmeans_AKJBKQKDK_0.2,1,,,,,
69_random_AKBKQKDK_0.2,0.92489612,,,,,
69_vector_AKJBKQKDK_0.2,1,,,,,
69_mini-em_AKJBKQKDK_0.1,0.908479147,,,,,
69_kmeans_AKJBKQKDK_0.2,1,,,,,
70_random_AKBKQKDK_0.05,0.566084081,,,,,
70_vector_ABKQKDK_0.05,0.564302528,,,,,
70_mini-em_AKBKQKDK_0.2,0.892415732,,,,,
70_kmeans_AKJBKQKDK_0.2,1,,,,,
71_random_AKJBKQKDK_0.05,0.897730633,,,,,
71_vector_AKJBKQKDK_0.2,1,,,,,
71_mini-em_AKBKQKDK_0.05,0.543470515,,,,,
71_kmeans_AKJBKQKDK_0.2,1,,,,,
72_random_AKBKQKDK_0.05,0.566084081,,,,,
72_vector_ABKQKDK_0.1,0.565210677,,,,,
72_mini-em_AKBKQKDK_0.05,0.525534075,,,,,
72_kmeans_AKJBKQKDK_0.2,1,,,,,
73_random_AKBKQKDK_0.2,0.922135606,,,,,
73_vector_ABKQKDK_0.05,0.565210677,,,,,
73_mini-em_AKBKQKDK_0.05,0.569096864,,,,,
73_kmeans_AKJBKQKDK_0.2,1,,,,,
74_random_AKBKQKDK_0.2,0.897730633,,,,,
74_vector_ABKQKDK_0.1,0.566084081,,,,,
74_mini-em_AKJBKQKDK_0.2,0.897730633,,,,,
74_kmeans_AKJBQKDK_0.2,1,,,,,
75_random_AKBKQKDK_0.2,0.905777233,,,,,
75_vector_ABKQKDK_0.1,0.562316725,,,,,
75_mini-em_AKBKQKDK_0.05,0.567624471,,,,,
75_kmeans_ABKQKDK_0.1,0.563631479,,,,,
76_random_AKBKQKDK_0.1,0.537603835,,,,,
76_vector_ABKQKDK_0.1,0.567368963,,,,,
76_mini-em_AKBKQKDK_0.05,0.563253052,,,,,
76_kmeans_AKJBKQKDK_0.2,1,,,,,
77_random_ABKQKDK_0.2,1,,,,,
77_vector_ABKQKDK_0.05,0.566084081,,,,,
77_mini-em_AKBKQKDK_0.05,0.545974134,,,,,
77_kmeans_AKJBKQKDK_0.2,1,,,,,
78_random_AKBKQKDK_0.2,0.919384803,,,,,
78_vector_ABKQKDK_0.1,0.567368963,,,,,
78_mini-em_AKJBKQKDK_0.05,0.551770717,,,,,
78_kmeans_AKJBQKDK_0.2,0.996995489,,,,,
79_random_AKJBKQKDK_0.1,0.905777233,,,,,
79_vector_ABKQKDK_0.1,0.564436046,,,,,
79_mini-em_AKJBKQKDK_0.1,0.545929262,,,,,
79_kmeans_AKJBKQKDK_0.2,1,,,,,
80_random_AKBKQKDK_0.05,0.565210677,,,,,
80_vector_AKJBKQKDK_0.2,1,,,,,
80_mini-em_AKBKQKDK_0.05,0.549883289,,,,,
80_kmeans_AKJBKQKDK_0.2,1,,,,,
81_random_AKJBKQKDK_0.2,0.879302927,,,,,
81_vector_AKJBKQKDK_0.2,1,,,,,
81_mini-em_AKBKQKDK_0.1,0.541628024,,,,,
81_kmeans_AKJBKQKDK_0.2,1,,,,,
82_random_AKJBKQKDK_0.2,0.905777233,,,,,
82_vector_ABKQKDK_0.1,0.565630104,,,,,
82_mini-em_AKJBKQKDK_0.2,0.579380221,,,,,
82_kmeans_AKJBKQKDK_0.2,1,,,,,
83_random_AKJBKQKDK_0.2,0.900402954,,,,,
83_vector_ABKQKDK_0.05,0.564825986,,,,,
83_mini-em_AKJBKQKDK_0.2,0.916643734,,,,,
83_kmeans_AKJBKQKDK_0.2,1,,,,,
84_random_AKJBKQKDK_0.2,0.884518042,,,,,
84_vector_ABKQKDK_0.05,0.565362956,,,,,
84_mini-em_AKBKQKDK_0.05,0.546191416,,,,,
84_kmeans_AKJBQKDK_0.2,1,,,,,
85_random_AKJBKQKDK_0.2,1,,,,,
85_vector_AKJBQKDK_0.2,0.936034828,,,,,
85_mini-em_AKJBKQKDK_0.2,0.551517662,,,,,
85_kmeans_AKJBQKDK_0.2,1,,,,,
86_random_AKBKQKDK_0.1,0.526709512,,,,,
86_vector_ABKQKDK_0.05,0.56466412,,,,,
86_mini-em_AKBKQKDK_0.05,0.561413152,,,,,
86_kmeans_AKJBKQKDK_0.2,1,,,,,
87_random_AKJBKQKDK_0.2,1,,,,,
87_vector_AKJBKQKDK_0.2,1,,,,,
87_mini-em_AKJBKQKDK_0.2,1,,,,,
87_kmeans_AKJBKQKDK_0.2,1,,,,,
88_random_AKJBKQKDK_0.05,0.897268871,,,,,
88_vector_ABKQKDK_0.05,0.565362956,,,,,
88_mini-em_AKBKQKDK_0.1,0.545461258,,,,,
88_kmeans_AKJBQKDK_0.2,0.996995489,,,,,
89_random_AKBKQKDK_0.05,0.569096864,,,,,
89_vector_ABKQKDK_0.05,0.56466412,,,,,
89_mini-em_AKBKQKDK_0.05,0.566323969,,,,,
89_kmeans_AKJBKQKDK_0.2,0.996995489,,,,,
90_random_AKBKQKDK_0.2,0.884518042,,,,,
90_vector_ABKQKDK_0.1,0.564005805,,,,,
90_mini-em_AKJBKQKDK_0.1,0.545011373,,,,,
90_kmeans_AKJBKQKDK_0.2,1,,,,,
91_random_AKBKQKDK_0.05,0.533532476,,,,,
91_vector_AKJBKQKDK_0.2,0.996995489,,,,,
91_mini-em_AKBKQKDK_0.05,0.548406007,,,,,
91_kmeans_AKJBKQKDK_0.2,0.996995489,,,,,
92_random_AKBKQKDK_0.2,0.876508717,,,,,
92_vector_ABKQKDK_0.1,0.565630104,,,,,
92_mini-em_AKBKQKDK_0.05,0.569096864,,,,,
92_kmeans_AKJBKQKDK_0.2,1,,,,,
93_random_AKBKQKDK_0.05,0.569096864,,,,,
93_vector_AKJBKQKDK_0.2,1,,,,,
93_mini-em_AKBKQKDK_0.05,0.547811138,,,,,
93_kmeans_AKJBKQKDK_0.2,1,,,,,
94_random_AKBKQKDK_0.05,0.562739938,,,,,
94_vector_ABKQKDK_0.1,0.56541606,,,,,
94_mini-em_AKJBKQKDK_0.1,0.911190884,,,,,
94_kmeans_AKJBKQKDK_0.2,1,,,,,
95_random_AKBKQKDK_0.05,0.56541606,,,,,
95_vector_AKJBKQKDK_0.2,1,,,,,
95_mini-em_AKBKQKDK_0.1,0.549504982,,,,,
95_kmeans_AKJBKQKDK_0.2,1,,,,,
96_random_AKJBKQKDK_0.1,0.908200167,,,,,
96_vector_ABKQKDK_0.1,0.566084081,,,,,
96_mini-em_ABKQKDK_0.05,0.563803684,,,,,
96_kmeans_AKJBKQKDK_0.2,1,,,,,
97_random_AKBKQKDK_0.05,0.527378368,,,,,
97_vector_ABKQKDK_0.2,0.565399876,,,,,
97_mini-em_AKJBKQKDK_0.2,0.922135606,,,,,
97_kmeans_AKJBKQKDK_0.2,1,,,,,
98_random_AKJBKQKDK_0.2,0.889773193,,,,,
98_vector_AKJBKQKDK_0.2,1,,,,,
98_mini-em_AKBKQKDK_0.05,0.547496563,,,,,
98_kmeans_AKJBQKDK_0.2,1,,,,,
99_random_AKBKQKDK_0.05,0.566323969,,,,,
99_vector_ABKQKDK_0.2,0.567696798,,,,,
99_mini-em_AKJBKQKDK_0.2,0.547349526,,,,,
99_kmeans_AKJBKQKDK_0.2,1,,,,,
