,ARI,,,,,
61_mini-em_AKBKQKDK_0.05,0.545280973,,,,,
61_kmeans_AKJBKQKDK_0.2,1,,,,,
62_random_AKJBKQKDK_0.2,1,,,,,
62_vector_ABKQKDK_0.05,0.562077897,,,,,
62_mini-em_AKJBKQKDK_0.1,0.554928156,,,,,
62_kmeans_AKJBKQKDK_0.1,1,,,,,
63_random_AKJBQKDK_0.2,1,,,,,
63_vector_ABKQKDK_0.05,0.56466412,,,,,
63_mini-em_AKBKQKDK_0.1,0.546862573,,,,,
63_kmeans_AKJBQKDK_0.2,1,,,,,
64_random_AKBKQKDK_0.2,0.903085161,,,,,
64_vector_ABKQKDK_0.05,0.56302714,,,,,
64_mini-em_AKBKQKDK_0.1,0.547088126,,,,,
64_kmeans_AKJBKQKDK_0.2,1,,,,,
65_random_AKBKQKDK_0.2,0.897730633,,,,,
65_vector_ABKQKDK_0.05,0.566572424,,,,,
65_mini-em_AKBKQKDK_0.1,0.549895077,,,,,
65_kmeans_AKJBKQKDK_0.2,1,,,,,
66_random_AKJBKQKDK_0.1,0.916643734,,,,,
66_vector_AKJBKQKDK_0.2,1,,,,,
66_mini-em_AKBKQKDK_0.05,0.493885627,,,,,
66_kmeans_AKJBKQKDK_0.2,1,,,,,
67_random_AKJBKQKDK_0.1,0.892415732,,,,,
67_vector_AKJBQKDK_0.2,1,,,,,
67_mini-em_AKBKQKDK_0.1,0.545149709,,,,,
67_kmeans_AKJBQKDK_0.2,1,,,,,
68_random_AKBKQKDK_0.2,0.927666322,,,,,
68_vector_ABKQKDK_0.1,0.563610259,,,,,
68_mini-em_AKBKQKDK_0.1,0.550666209,,,,,
68_kmeans_AKJBKQKDK_0.2,1,,,,,
69_random_AKJBQKDK_0.1,0.903085161,,,,,
69_vector_ABKQKDK_0.05,0.566084081,,,,,
69_mini-em_AKBKQKDK_0.1,0.546764477,,,,,
69_kmeans_AKJBQKDK_0.2,1,,,,,
70_random_AKJBKQKDK_0.1,0.897730633,,,,,
70_vector_AKJBKQKDK_0.2,1,,,,,
70_mini-em_AKBKQKDK_0.1,0.548275592,,,,,
70_kmeans_AKJBKQKDK_0.2,1,,,,,
71_random_AKBKQKDK_0.2,0.92489612,,,,,
71_vector_ABKQKDK_0.05,0.5642166,,,,,
71_mini-em_AKBKQKDK_0.1,0.551452936,,,,,
71_kmeans_AKJBQKDK_0.2,1,,,,,
72_random_AKBKQKDK_0.1,0.537624333,,,,,
72_vector_ABKQKDK_0.1,0.563978107,,,,,
72_mini-em_AKJBKQKDK_0.2,0.550471596,,,,,
72_kmeans_AKJBKQKDK_0.2,1,,,,,
73_random_AKBKQKDK_0.2,0.887140623,,,,,
73_vector_AKJBKQKDK_0.2,1,,,,,
73_mini-em_AKBKQKDK_0.1,0.545658013,,,,,
73_kmeans_AKJBKQKDK_0.2,1,,,,,
74_random_AKJBKQKDK_0.2,1,,,,,
74_vector_AKJBKQKDK_0.1,1,,,,,
74_mini-em_AKBKQKDK_0.2,0.551819224,,,,,
74_kmeans_AKJBKQKDK_0.1,1,,,,,
75_random_AKBKQKDK_0.2,0.385955695,,,,,
75_vector_ABKQKDK_0.05,0.564825986,,,,,
75_mini-em_AKBKQKDK_0.2,0.54470654,,,,,
75_kmeans_AKJBKQKDK_0.2,1,,,,,
76_random_AKBKQKDK_0.2,0.911190884,,,,,
76_vector_ABKQKDK_0.1,0.561208894,,,,,
76_mini-em_AKJBKQKDK_0.2,0.91391242,,,,,
76_kmeans_AKJBKQKDK_0.2,1,,,,,
77_random_AKBQKDK_0.1,0.42856013,,,,,
77_vector_AKJBKQKDK_0.2,1,,,,,
77_mini-em_AKJBKQKDK_0.2,0.551517662,,,,,
77_kmeans_AKJBQKDK_0.2,1,,,,,
78_random_AKBKQKDK_0.2,0.908479147,,,,,
78_vector_ABKQKDK_0.1,0.566084081,,,,,
78_mini-em_AKBKQKDK_0.2,0.550941132,,,,,
78_kmeans_AKJBKQKDK_0.2,1,,,,,
79_random_AKJBKQKDK_0.2,0.900402954,,,,,
79_vector_ABKQKDK_0.1,0.56541606,,,,,
79_mini-em_AKBKQKDK_0.2,0.546111316,,,,,
79_kmeans_AKJBKQKDK_0.2,1,,,,,
80_random_AKBKQKDK_0.2,0.91391242,,,,,
80_vector_ABKQKDK_0.05,0.5642166,,,,,
80_mini-em_AKBKQKDK_0.1,0.550779075,,,,,
80_kmeans_AKBKQKDK_0.1,0.565852785,,,,,
81_random_AKJBKQKDK_0.2,0.955896073,,,,,
81_vector_ABKQKDK_0.1,0.562603409,,,,,
81_mini-em_AKBKQKDK_0.05,0.507053983,,,,,
81_kmeans_AKJBQKDK_0.1,1,,,,,
82_random_ABKQKDK_0.05,0.516268286,,,,,
82_vector_ABKQKDK_0.1,0.563425556,,,,,
82_mini-em_AKBKQKDK_0.2,0.551427301,,,,,
82_kmeans_AKJBKQKDK_0.2,1,,,,,
83_random_AKBKQKDK_0.2,0.903085161,,,,,
83_vector_ABKQKDK_0.05,0.566323969,,,,,
83_mini-em_AKBKQKDK_0.2,0.547088126,,,,,
83_kmeans_AKJBKQKDK_0.2,1,,,,,
84_random_AKBKQKDK_0.2,0.919384803,,,,,
84_vector_ABKQKDK_0.1,0.565210677,,,,,
84_mini-em_AKBKQKDK_0.2,0.551420573,,,,,
84_kmeans_AKJBQKDK_0.2,1,,,,,
85_random_AKJBKQKDK_0.2,0.911190884,,,,,
85_vector_ABKQKDK_0.05,0.5642166,,,,,
85_mini-em_AKJBKQKDK_0.2,0.911190884,,,,,
85_kmeans_AKJBQKDK_0.2,1,,,,,
86_random_AKBKQKDK_0.05,0.547616614,,,,,
86_vector_ABKQKDK_0.1,0.562923994,,,,,
86_mini-em_AKBKQKDK_0.05,0.547616614,,,,,
86_kmeans_AKJBKQKDK_0.2,1,,,,,
87_random_AKBKQKDK_0.2,0.908479147,,,,,
87_vector_ABKQKDK_0.05,0.5627744,,,,,
87_mini-em_AKBKQKDK_0.2,0.544861191,,,,,
87_kmeans_AKJBKQKDK_0.2,1,,,,,
88_random_AKBQKDK_0.2,0.908479147,,,,,
88_vector_ABKQKDK_0.1,0.565630104,,,,,
88_mini-em_AKBKQKDK_0.2,0.551338311,,,,,
88_kmeans_AKJBKQKDK_0.2,1,,,,,
89_random_AKBKQKDK_0.2,0.900402954,,,,,
89_vector_ABKQKDK_0.05,0.565630104,,,,,
89_mini-em_AKBKQKDK_0.1,0.548177781,,,,,
89_kmeans_AKJBKQKDK_0.2,1,,,,,
90_random_AKBKQKDK_0.05,0.550090125,,,,,
90_vector_ABKQKDK_0.05,0.563425556,,,,,
90_mini-em_AKJBKQKDK_0.2,0.93044619,,,,,
90_kmeans_AKJBQKDK_0.2,1,,,,,
91_random_AKBKQKDK_0.1,0.536453892,,,,,
91_vector_ABKQKDK_0.2,0.562810943,,,,,
91_mini-em_AKBKQKDK_0.1,0.552497267,,,,,
91_kmeans_AKJBQKDK_0.2,1,,,,,
92_random_AKJBKQKDK_0.2,0.908479147,,,,,
92_vector_ABKQKDK_0.1,0.562603409,,,,,
92_mini-em_AKBKQKDK_0.2,0.908479147,,,,,
92_kmeans_AKJBKQKDK_0.2,1,,,,,
93_random_AKBKQKDK_0.2,0.919384803,,,,,
93_vector_ABKQKDK_0.1,0.563803684,,,,,
93_mini-em_AKBKQKDK_0.1,0.550422942,,,,,
93_kmeans_AKJBQKDK_0.2,1,,,,,
94_random_AKBKQKDK_0.2,0.911190884,,,,,
94_vector_ABKQKDK_0.1,0.565210677,,,,,
94_mini-em_AKBKQKDK_0.05,0.547811138,,,,,
94_kmeans_AKJBQKDK_0.2,1,,,,,
95_random_AKBKQKDK_0.2,0.884518042,,,,,
95_vector_ABKQKDK_0.05,0.565210677,,,,,
95_mini-em_AKBKQKDK_0.05,0.543223352,,,,,
95_kmeans_AKJBKQKDK_0.2,1,,,,,
96_random_AKBKQKDK_0.1,0.738030863,,,,,
96_vector_ABKQKDK_0.2,0.563251979,,,,,
96_mini-em_AKBKQKDK_0.1,0.550746664,,,,,
96_kmeans_AKJBKQKDK_0.2,1,,,,,
97_random_AKJBKQKDK_0.2,0.897730633,,,,,
97_vector_AKJBKQKDK_0.2,1,,,,,
97_mini-em_AKBKQKDK_0.2,0.542754088,,,,,
97_kmeans_AKJBKQKDK_0.2,1,,,,,
98_random_AKBKQKDK_0.2,0.91391242,,,,,
98_vector_ABKQKDK_0.05,0.564825986,,,,,
98_mini-em_ABKQKDK_0.1,0.523751028,,,,,
98_kmeans_AKJBQKDK_0.2,0.996995489,,,,,
99_random_AKBKQKDK_0.05,0.526489151,,,,,
99_vector_ABKQKDK_0.1,0.562214428,,,,,
99_mini-em_AKBKQKDK_0.1,0.548406656,,,,,
99_kmeans_AKJBQKDK_0.2,1,,,,,
